2025-07-07T08:36:44Z | ERROR | Cargar_Bitacoras | Error eliminando backup: cannot access local variable 'backup_time' where it is not associated with a value
2025-07-07T08:36:44Z | ERROR | Cargar_Bitacoras | FALLO GUARDADO: Error escribiendo Parquet: ("object of type <class 'str'> cannot be converted to int", 'Conversion failed for column fecha with type object')
2025-07-07T08:36:44Z | WARNING | Cargar_Bitacoras | ⚠️  Restaurando desde último backup...
2025-07-07T08:36:44Z | ERROR | Cargar_Bitacoras | Backup incompleto para timestamp: 20250707
2025-07-07T08:36:44Z | ERROR | Cargar_Bitacoras | 🚨 ERROR CRÍTICO: Error guardando bitácora: Error escribiendo Parquet: ("object of type <class 'str'> cannot be converted to int", 'Conversion failed for column fecha with type object')
2025-07-07T08:36:44Z | WARNING | Cargar_Bitacoras | Revertiendo cambios...
2025-07-07T08:36:44Z | ERROR | Cargar_Bitacoras | Backup incompleto para timestamp: 20250707
2025-07-07T08:58:14Z | INFO | Cargar_Bitacoras | 🚀 Iniciando comando: AGREGAR
2025-07-07T08:58:16Z | INFO | Cargar_Bitacoras | Backups creados: bitacora_backup_20250707_085816.parquet, metadata_backup_20250707_085816.yaml
2025-07-07T08:58:16Z | WARNING | Cargar_Bitacoras | Timestamp de backup ignorado por formato inválido: 20250707
2025-07-07T08:58:16Z | INFO | Cargar_Bitacoras | Bitácora actualizada con éxito
2025-07-07T08:58:16Z | INFO | Cargar_Bitacoras | Registro changelog: alta | Entrada: e04e99aa-3d79-4621-aeee-2d48260daec8
2025-07-07T08:58:16Z | INFO | Cargar_Bitacoras | ✅ Entrada agregada: ID=e04e99aa-3d79-4621-aeee-2d48260daec8
2025-07-07T09:05:22Z | INFO | Cargar_Bitacoras | 🚀 Iniciando comando: AGREGAR
2025-07-07T09:05:23Z | INFO | Cargar_Bitacoras | Backups creados: bitacora_backup_20250707_090523.parquet, metadata_backup_20250707_090523.yaml
2025-07-07T09:05:23Z | WARNING | Cargar_Bitacoras | Timestamp de backup ignorado por formato inválido: 20250707
2025-07-07T09:05:23Z | INFO | Cargar_Bitacoras | Bitácora actualizada con éxito
2025-07-07T09:05:23Z | INFO | Cargar_Bitacoras | Registro changelog: alta | Entrada: df95a097-64ec-4c99-b4cb-4d05d5bdcef5
2025-07-07T09:05:23Z | INFO | Cargar_Bitacoras | ✅ Entrada agregada: ID=df95a097-64ec-4c99-b4cb-4d05d5bdcef5
2025-07-07T09:14:31Z | INFO | Cargar_Bitacoras | 🚀 Iniciando comando: AGREGAR
2025-07-07T09:14:32Z | INFO | Cargar_Bitacoras | Operación cancelada por el usuario
2025-07-07T09:14:39Z | INFO | Cargar_Bitacoras | 🚀 Iniciando comando: AGREGAR
2025-07-07T09:14:40Z | INFO | Cargar_Bitacoras | Backups creados: bitacora_backup_20250707_091440.parquet, metadata_backup_20250707_091440.yaml
